item_id,Quiz,Choices,Answer
90,司母戊鼎是著名的____青铜器。,A.商代 B.周代,A
91,《诗经》收录了从西周初年到____中叶大约500年间的305首诗。,A.春秋 B.战国,A
92,使用最广泛的篆刻材料是____。,A.象牙 B.石料,B
93,汉元帝时期，______主动提出要与匈奴和亲，推动了匈奴与汉朝的和平友好的关系。,A.马湘兰 B.王昭君,B
94,被称为“治世之能臣，乱世之奸雄”的是____。,A.曹操 B.诸葛亮,A
95,神舟五号的发射成功使中国成为世界上第____个能够独立自主开展载人航天的国家。,A.三 B.四,A
96,孔子是______时期的思想家。,A.春秋 B.战国,A
97,南水北调东线从长江下游提水，为____东部补水。,A.华北平原B.黄土高原,A
98,三国鼎立指的是魏、_______、吴三国。,A.汉 B.蜀,B
99,古代，龟是吉祥动物，象征____。,A.美德和力量 B.健康与长寿,B
100,“俭以养德”是三国时期____的道德名言。,A.诸葛亮 B.曹操,A
101,有“日光城”和“高原古城”之称的城市是指____。,A.拉萨 B.银川,A
102,祖冲之推算出的圆周率被日本科学家尊称为____。,A.祖率 B.密率,A
103,嫦'娥是神话传说中____的妻子。,A.盘古 B.后羿,B
104,辽宁省中南部是中国主要的_____基地。,A.轻工业 B.重工业,B
105,《将进酒》是_____的著名诗篇。,A.李白 B.杜甫,A
106,青海湖古代称为____，位于青海省东北部。,A.“西海” B.“东海”,A
107,使用打制石器的是____时代。,A.旧石器 B.新石器,A
108,在钟表没有发明之前，用太阳来测定时刻的计时工具叫做____。,A.罗盘 B.日晷,B
109,中国的国歌是____。,A.《解放军进行曲》B.《义勇军进行曲》,B
110,“人生自古谁无死，留取丹心照汗青”是南宋民族英雄_____的诗句。,A.岳飞 B.文天祥,B
111,马褂是____的传统服装。,A.朝鲜族 B.满族,B
112,____由于虎门销烟成了中国近代史上的民族英雄。,A.郑成功 B.林则徐,B
113,黄帝陵在____。,A.陕西 B.山西,A
114,明朝后期，高迎祥死后，起义军：一支由李自成率领，另一支由_____率领。,A.张献忠 B.洪秀全,A
115,_____是中国历史上著名的抗倭英雄。,A.海瑞 B.戚继光,B
116,世界上最早的指南针叫______。,A.司北 B.司南24/,B
117,黑龙江和乌苏里江主航道中心线汇合处是中国领土的最____端。,A.西 B.东,B
118,____是回族聚居的地区。,A.吉林 B.宁夏,B
119,武汉的____是中国的四大名楼之一。,A.岳阳楼 B.黄鹤楼,B
120,圣保罗教堂牌坊又叫“大三巴”，是____的城市象征。,A.香港 B.澳门,B
121,张衡是世界上著名的天文学家，他发明了_____。,A.地动仪 B.指南针,A
122,____位于江西省北部，以“雄、奇、险、秀”闻名于世。,A.黄山 B.庐山,B
123,____、武汉、南京夏天炎热，被称为长江沿岸城市的“三大火炉”。,A.广州 B.重庆,B
124,在____，冬季常常举行冰灯灯会。,A.哈尔滨 B.昆明,A
125,京剧中“生”这个行当所扮演的是____人物。,A.男性 B.女性,A
126,____是中国传说中的百鸟之王。,A.凤凰 B.孔雀,A
127,著名的古典园林拙政园位于____。,A.苏州 B.扬州,A
128,中国是世界上农业发展历史最悠久的国家之一，____等主要农作物都起源于中国。,A.水稻 B.玉米,A
129,排在生肖属相第一位的是____。,A.牛 B.鼠,B
130,重阳节这天，人们都喜欢____。,A.爬山 B.舞狮,A
131,“塔”这种建筑起源于____。,A.中国 B.印度,B
132,秦岭是中国____之间一条重要的地理分界线。,A.东西 B.南北,B
133,北宋末年，指南针应用到_____上。,A.航空 B.航海,B
134,东晋大书法家_____被称为“书圣”。,A.王羲之 B.颜真卿,A
135,云南昆明的____以其长达180字的“天下第一长联”而闻名。,A.大观楼 B.大观园,A
136,康熙把_____学说定为官方思想，提倡汉文化。,A.儒家 B.道家,A
137,____颁布了《天朝田亩制度》。,A.太平天国 B.清政府,A
138,战国时期，中国人用来指示方向的仪器叫_____。,A.司南 B.指南针,A
139,藏族主要分布在____高原，被称为“高原之鹰”。,A.青藏 B.云贵,A
140,____打响了武装反抗国民党反动派的第一枪。,A.南昌起义 B.黄花岗起义,A
141,因虎门销烟而闻名的清代政治家是_____。,A.魏源 B.林则徐,B
142,1924年1月，中国国民党第一次全国代表大会在_____召开。,A.广州 B.上海,A
143,古典小说____中的故事生动奇特，大多与鬼怪、花仙、狐仙有关。,A.《红楼梦》B.《聊斋志异》,B
144,《本草纲目》的作者是____。,A.扁鹊 B.李时珍,B
145,中国共产党成立于_____年。,A.1919 B.1921,B
146,甘肃敦煌莫高窟又叫“____”。,A.千佛洞 B.仙人洞,A
147,北京、上海、广州、____是中国重要的国际航空港。,A.澳门 B.香港,B
148,中国最大的经济中心是_____。,A.北京B.上海,B
149,中国的地势总体上呈_____之势。,A.西高东低 B.北高南低,A
150,宋代，指南针经由____传到欧洲。,A.印度 B.阿拉伯,B
151,____是中国最重要的内河航运大动脉。,A.长江 B.黄河,A
152,汉乐府民歌大多数是____。,A.抒情诗 B.叙事诗,B
153,1954年，中国第一次以大国身份参加了在____举行的重要国际会议。,A.印尼万隆 B.瑞士日内瓦,B
154,内蒙古高原是中国著名的天然____。,A.牧场 B.林场,A
155,使用人口最多的汉语方言是____。,A.北方方言 B.闽方言,A
156,唐三彩是一种____。,A.陶器 B.瓷器,A
157,汉民族的标准语是____。,A.粤语 B.普通话,B
